source name	characteristics[organism]	characteristics[organism part]	characteristics[sex]	characteristics[age]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[infect]	characteristics[time]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[label].1	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters ]	comment[modification parameters ].1	comment[modification parameters ].2	comment[cleavage agent details]	comment[cleavage agent details].1	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[infect]	factor value[time]	factor value[label]	factor value[label].1
50ug_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_50ug_R1.raw			SILAC light	
50ug_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_50ug_R1.raw			SILAC intermediate	
50ug_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_50ug_R1.raw			SILAC heavy	
50ug_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_50ug_R2.raw			SILAC light	
50ug_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_50ug_R2.raw			SILAC intermediate	
50ug_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_50ug_R2.raw			SILAC heavy	
100ug_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_100ug_R1.raw			SILAC light	
100ug_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_100ug_R1.raw			SILAC intermediate	
100ug_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_100ug_R1.raw			SILAC heavy	
100ug_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_100ug_R2.raw			SILAC light	
100ug_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_100ug_R2.raw			SILAC intermediate	
100ug_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_100ug_R2.raw			SILAC heavy	
150ug_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_150ug_R1.raw			SILAC light	
150ug_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_150ug_R1.raw			SILAC intermediate	
150ug_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_150ug_R1.raw			SILAC heavy	
150ug_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_150ug_R2.raw			SILAC light	
150ug_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_150ug_R2.raw			SILAC intermediate	
150ug_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_150ug_R2.raw			SILAC heavy	
200ug_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_200ug_R1.raw			SILAC light	
200ug_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_200ug_R1.raw			SILAC intermediate	
200ug_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_200ug_R1.raw			SILAC heavy	
200ug_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_200ug_R2.raw			SILAC light	
200ug_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_200ug_R2.raw			SILAC intermediate	
200ug_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_200ug_R2.raw			SILAC heavy	
250ug_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_250ug_R1.raw			SILAC light	
250ug_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_250ug_R1.raw			SILAC intermediate	
250ug_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_250ug_R1.raw			SILAC heavy	
250ug_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_250ug_R2.raw			SILAC light	
250ug_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_250ug_R2.raw			SILAC intermediate	
250ug_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_250ug_R2.raw			SILAC heavy	
300ug_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_300ug_R1.raw			SILAC light	
300ug_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_300ug_R1.raw			SILAC intermediate	
300ug_R1	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_300ug_R1.raw			SILAC heavy	
300ug_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC light					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_300ug_R2.raw			SILAC light	
300ug_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC intermediate					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_300ug_R2.raw			SILAC intermediate	
300ug_R2	Homo sapiens	cervix	female	31	adult	black	not available	adenocarcinoma	Hela				cell		proteomic profiling by mass spectrometry	SILAC heavy					NT=Q Exactive HF					NT=Trypsin				20220806_QE1_TB_Hela_300ug_R2.raw			SILAC heavy	
