Source Name	characteristics[sample type]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[synthetic molecule]	characteristics[biological replicate]	Assay Name	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[cleavage agent details]	comment[instrument]	comment[label]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]
proteasome_digest_BCR-ABL1_E13_2_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	1	1	10_06_2022_A8028_3_N2_8028_3_BCR_ABL_AND_PROTEASOME_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR-ABL1_E13_2_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	2	1	10_06_2022_A8028_3_N2_8028_3_BCR_ABL_AND_PROTEASOME_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR-ABL1_E13_2_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	2	proteasome digest	3	1	10_06_2022_A8028_3_N2_8028_3_BCR_ABL_AND_PROTEASOME_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR-ABL1_E13_2_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	1	1	10_06_2022_A8028_3_N3_8028_3_BCR_ABL_AND_PROTEASOME_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR-ABL1_E13_2_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	2	1	10_06_2022_A8028_3_N3_8028_3_BCR_ABL_AND_PROTEASOME_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR-ABL1_E13_2_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	3	proteasome digest	3	1	10_06_2022_A8028_3_N3_8028_3_BCR_ABL_AND_PROTEASOME_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR-ABL1_E13_2_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	1	1	10_06_2022_A8028_3_N4_8028_3_BCR_ABL_AND_PROTEASOME_R1	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR-ABL1_E13_2_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	2	1	10_06_2022_A8028_3_N4_8028_3_BCR_ABL_AND_PROTEASOME_R2	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR-ABL1_E13_2_digested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	4	proteasome digest	3	1	10_06_2022_A8028_3_N4_8028_3_BCR_ABL_AND_PROTEASOME_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
proteasome_digest_BCR-ABL1_E13_2_undigested	synthetic	Homo sapiens	polypeptide	-	-	-	synthetic poplypeptide digested by proteasome	1	proteasome digest	1	1	10_06_2022_A8028_3_N1_8028_3_BCR_ABL_R3	No cleavage	Orbitrap Eclipse	label free sample	-	-	-
