source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cultured cell]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[modification parameters].3	comment[cleavage agent details].1	comment[fragment mass tolerance]	comment[precursor mass tolerance]	characteristics[developmental stage]
H1975 p4	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_H1975_FecH_re2_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H1975 p5	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_H1975_FecH_re2_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H1975 p6	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_H1975_FecH_re2_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H1975 p7	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_H1975_FecH_re3_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H1975 p8	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_H1975_FecH_re3_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H1975 p9	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_H1975_FecH_re3_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H3255 p1	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_H3255_FecH_re1_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H3255 p2	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_H3255_FecH_re1_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H3255 p3	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_H3255_FecH_re1_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H3255 p4	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_H3255_FecH_re2_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H3255 p5	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_H3255_FecH_re2_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H3255 p6	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_H3255_FecH_re2_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H3255 p7	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_H3255_FecH_re3_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H3255 p8	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_H3255_FecH_re3_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H3255 p9	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_H3255_FecH_re3_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
PC9 p1	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_PC9_FecH_re1_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
PC9 p2	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_PC9_FecH_re1_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
PC9 p3	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_PC9_FecH_re1_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
PC9 p4	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_PC9_FecH_re2_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
PC9 p5	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_PC9_FecH_re2_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
PC9 p6	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_PC9_FecH_re2_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
PC9 p7	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_PC9_FecH_re3_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
PC9 p8	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_PC9_FecH_re3_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
PC9 p9	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230621_PC9_FecH_re3_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
CL68 g1	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_CL68lys_GP_1_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
CL68 g2	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_CL68lys_GP_1_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
CL68 g3	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_CL68lys_GP_1_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
CL68 g4	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_CL68lys_GP_2_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
CL68 g5	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_CL68lys_GP_2_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
CL68 g6	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_CL68lys_GP_2_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
CL68 g7	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_CL68lys_GP_3_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
CL68 g8	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_CL68lys_GP_3_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
CL68 g9	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_CL68lys_GP_3_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H1975 g1	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_H1975lys_GP_1_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H1975 g2	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_H1975lys_GP_1_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H1975 g3	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_H1975lys_GP_1_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H1975 g4	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_H1975lys_GP_2_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H1975 g5	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_H1975lys_GP_2_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H1975 g6	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_H1975lys_GP_2_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H1975 g7	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_H1975lys_GP_3_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H1975 g8	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_H1975lys_GP_3_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H1975 g9	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_H1975lys_GP_3_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H3255 g1	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_H3255lys_GP_1_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H3255 g2	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_H3255lys_GP_1_2_cH65.raw	2	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H3255 g3	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_H3255lys_GP_1_3_cH60550.raw	3	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
H3255 g4	homo sapiens	lung	cancer cell	lung cancer	Human cancer cell	run1	YJC_20230628_H3255lys_GP_2_1_cH70.raw	1	label free sample	NT=Trypsin	NT=Orbitrap Fusion Lumos	NT=Carbamidomethylation; MT=fixed; TA=C	NT=Oxidation; MT=Variable; TA=M	NT=Phosphorylation; MT=Variable; TA=S,T,Y	NT=glycosylation; MT=Variable; TA=N	NT=Trypsin; AC=MS:1001251	0.05 Da	10 ppm	Not available
